asin,title,author,author_asin,narrator,publication_datetime,release_date,publisher_name,length,category,mp3_excerpt,overall_rating,overall_num_ratings,performance_rating,performance_num_ratings,story_rating,story_num_ratings,num_reviews,price,series_asin,series_name
B002V0QMYK,Shadow Soldier,C. K. Crigger,,Stephanie Brush,2009-07-27T17:32:00Z,2009-07-27,Books in Motion,686,Science Fiction & Fantasy,https://samples.audible.com/bk/bimo/000738/bk_bimo_000738_sample.mp3,3.5,2,5.0,1,5.0,1,0,20.29,B01LYTVKXS,The Gunsmith
1721371370,Peeler,Kevin McCarthy,B003VO3PQI,Tim Gerard Reynolds,2019-04-23T07:00:00Z,2019-04-23,Brilliance Audio,776,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/brll/011808/bk_brll_011808_sample.mp3,4.6,35,4.9,31,4.5,32,0,25.0,B07Q746GMM,Sean O'Keefe Series
B005ESYR4I,Gutshot Straight,Lou Berney,B002PXVASG,Edoardo Ballerini,2011-08-02T19:02:24Z,2011-08-02,Audible Studios,548,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/adbl/003237/bk_adbl_003237_sample.mp3,4.0,621,4.3,534,4.0,530,39,19.6,B01HIWRA1E,Shake
B01ND404G5,Triple Play,Sloan Johnson,B00HYGBWFU,Greg Boudreaux,2017-02-09T12:05:00Z,2017-02-09,Sloan Johnson,477,LGBTQ+,https://samples.audible.com/bk/acx0/079778/bk_acx0_079778_sample.mp3,4.6,71,4.8,67,4.7,67,4,19.95,B01B3O8MWY,Homeruns
B00AAI5TJY,Bound by Iron,Edward Bolme,B001JS2VPE,Steve West,2013-01-08T08:00:00Z,2013-01-08,Audible Studios,708,Science Fiction & Fantasy,https://samples.audible.com/bk/adbl/006445/bk_adbl_006445_sample.mp3,4.2,66,4.4,60,4.1,60,5,24.95,B00AEW1ZW6,The Inquisitives
B01FN1XBVA,"Bloodletting, Part 1","Peter J. Wacks,Mark Ryan","B002BMOTJI,B00J61BIWS",Carl Moore,2016-05-16T13:40:00Z,2016-05-16,WordFire Inc,441,Science Fiction & Fantasy,https://samples.audible.com/bk/acx0/059309/bk_acx0_059309_sample.mp3,3.0,2,2.5,2,2.5,2,1,19.95,,
B007MD7TYS,Proxies,M. J. Locke,B0042D1DUM,Dina Pearlman,2012-04-24T21:35:03Z,2012-04-24,Audible Studios,971,Science Fiction & Fantasy,https://samples.audible.com/bk/adbl/003652/bk_adbl_003652_sample.mp3,4.2,6,4.8,4,5.0,4,1,24.95,B007X71MGY,Avatars Dance
B00CD8YKNU,Blood Feud,Lisa Alther,B000APAUZ0,Amanda Ronconi,2013-04-24T08:00:00Z,2013-04-24,Audible Studios,516,History,https://samples.audible.com/bk/adbl/011413/bk_adbl_011413_sample.mp3,3.3,10,4.1,9,3.1,9,3,24.95,,
B0042LHV0U,Ruined,Ann Barker,B001KHAIFE,Julie Teal,2010-09-13T02:51:00Z,2010-09-13,ISIS Audio Books,548,Literature & Fiction,https://samples.audible.com/bk/isis/001257/bk_isis_001257_sample.mp3,3.7,15,4.0,11,3.4,12,1,22.96,,
B01G9EP67W,The Jungle,Mark Dawson,B0034Q9BO8,David Thorpe,2016-08-01T07:00:00Z,2016-08-01,Audible Studios,537,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/adbl/026850/bk_adbl_026850_sample.mp3,4.6,570,4.7,508,4.5,507,22,19.18,B00V4CDLJK,John Milton
B00DQSYQXA,Fed Up,"Susan Conant,Jessica Park","B000AQ47T4,",Kim McKean,2013-09-10T07:00:00Z,2013-09-10,Audible Studios,576,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/adbl/012756/bk_adbl_012756_sample.mp3,4.4,33,4.4,32,4.4,32,2,19.95,B09MML6HM4,The Gourmet Girl Mysteries
B00K7D1L1C,Bone Wires,Michael Shean,B0057NXR78,James Patrick Cronin,2014-05-09T14:39:00Z,2014-05-09,Audible Studios,765,Science Fiction & Fantasy,https://samples.audible.com/bk/adbl/018055/bk_adbl_018055_sample.mp3,3.8,43,4.1,36,4.0,37,3,24.95,,
B00AADL1L4,Home Front,Joel Rosenberg,B000AQ6WVA,Tom Richards,2012-11-21T03:16:00Z,2012-11-21,Audible Studios,414,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/adbl/007138/bk_adbl_007138_sample.mp3,3.9,15,4.5,15,4.0,14,2,19.6,B00AAZCXEG,Sparky Hemingway
B007XHMSF8,When the Wind Blows,James Patterson,B000APZGGS,Liza Ross,2012-04-26T03:28:00Z,2012-04-26,Headline Digital,588,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/head/000116/bk_head_000116_sample.mp3,3.5,4,3.5,4,3.3,4,1,14.52,B0163K4VXC,When the Wind Blows
B0765CPCNS,Fulgrim,Graham McNeill,B002LFHNWA,David Timson,2017-01-01T10:44:00Z,2017-01-01,Black Library,904,Science Fiction & Fantasy,https://samples.audible.com/bk/gawo/000079/bk_gawo_000079_sample.mp3,4.7,6265,4.7,5401,4.6,5379,297,33.9,B0761XJWGM,The Horus Heresy
B00DD56K7Q,The Lives and Works of the English Romantic Poets,"Willard Spiegelman,The Great Courses",",B06XPWVHFB",Willard Spiegelman,2013-07-08T07:00:00Z,2013-07-08,The Great Courses,731,Biographies & Memoirs,https://samples.audible.com/bk/tcco/000184/bk_tcco_000184_sample.mp3,4.7,143,4.6,127,4.7,127,5,25.0,B00DN6F6RU,The Great Courses: English Literature
B06XKVT118,Manalive,Gilbert Keith Chesterton,B000APF848,Ray Clare,2017-03-20T00:00:00Z,2017-03-20,Lindhardt og Ringhof,365,Politics & Social Sciences,https://samples.audible.com/bk/lind/001303/bk_lind_001303_sample.mp3,3.4,15,1.9,12,4.0,13,2,9.2,,
B003T0RBLE,Summer of Two Wishes,Julia London,B001IODD9M,Natalie Ross,2010-06-29T05:32:49Z,2010-06-29,Brilliance Audio ,659,Romance,https://samples.audible.com/bk/brll/002248/bk_brll_002248_sample.mp3,4.0,57,4.3,37,4.1,37,4,25.0,B00ICSF0C0,"Cedar Springs, Texas"
B087CX5T77,Fallen World,Grace Hamilton,B06VSK9VDL,Chris Monteiro,2020-04-22T20:52:00Z,2020-04-22,Relay Publishing,476,Science Fiction & Fantasy,https://samples.audible.com/bk/acx0/192948/bk_acx0_192948_sample.mp3,4.6,33,4.6,28,4.5,28,15,19.95,B086H7QS8Z,Surviving the End
B0767WMCJL,The Billionaire's Secrets,J. S. Scott,B007YUACRA,Elizabeth Powers,2017-11-07T08:00:00Z,2017-11-07,Brilliance Audio,468,Romance,https://samples.audible.com/bk/brll/009585/bk_brll_009585_sample.mp3,4.7,1102,4.7,956,4.7,960,43,20.0,B00V4CC0WE,The Sinclairs
B01NBWITSX,Presumption of Guilt,Archer Mayor,B000APKG04,Tom Taylorson,2017-01-31T08:00:00Z,2017-01-31,"Blackstone Audio, Inc.",524,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/blak/009637/bk_blak_009637_sample.mp3,4.7,1020,4.8,941,4.6,935,34,15.66,B00OZUWEZK,The Joe Gunther Mysteries
B07B3YMKXD,The High Sheriff: John Perry McDaniel III,R. L. Dodson,B00IBPZTUW,Homer V. Jones,2018-03-02T16:35:00Z,2018-03-02,R. L. Dodson,475,Biographies & Memoirs,https://samples.audible.com/bk/acx0/109635/bk_acx0_109635_sample.mp3,4.5,2,4.5,2,4.5,2,0,19.95,,
197734979X,Memoirs,Tennessee Williams,B000AP8Q3S,P.J. Ochlan,2019-05-21T07:00:00Z,2019-05-21,Tantor Audio,820,Biographies & Memoirs,https://samples.audible.com/bk/tant/016020/bk_tant_016020_sample.mp3,4.6,48,4.7,42,4.6,42,10,21.49,,
B002V5BGVY,Three Bites of the Cherry,Emma Blair,B001HPKAKC,Susan Jameson,2006-12-12T09:53:00Z,2006-12-12,Audible Studios,584,Literature & Fiction,https://samples.audible.com/bk/bbcw/001382/bk_bbcw_001382_sample.mp3,4.1,14,4.5,6,4.2,6,0,18.77,,
